Day,Month,Year,Species,Frequency,DeadLat,DeadLong
,,,ALB,148.011,,     
,,,LMB,148.021,33.8709,-86.1031
,,,LMB,148.031,,
,,,ALB,148.041,33.905,-86.07513333
,,,ALB,148.053,,
,,,LMB,148.062,,
,,,LMB,148.072,,
,,,ALB,148.081,,
,,,ALB,148.092,34.0128,-85.9959
,,,ALB,148.103,34.00913333,-85.99793333
,,,LMB,148.112,,
,,,ALB,148.122,,
,,,ALB,148.132,,
,,,ALB,148.141,,
,,,LMB,148.152,33.8739,-86.0625
,,,LMB,148.162,33.8571,-86.12013333
,,,LMB,148.172,,
,,,LMB,148.182,,
,,,ALB,148.193,,
,,,LMB,148.203,,
,,,LMB,148.211,,
,,,ALB,148.221,33.94614,-85.9566
,,,LMB,148.232,,
,,,ALB,148.240,34.00818,-85.99854
,,,ALB,148.251,,
,,,LMB,148.261,,
,,,ALB,148.291,34.01156,-85.95468
,,,LMB,148.300,33.8757,-86.0495
,,,ALB,148.311,,
,,,LMB,148.323,,
,,,ALB,148.332,33.00836667,-85.99818333
,,,LMB,148.343,,
,,,ALB,148.352,34.00698333,-85.99895
,,,ALB,148.361,,
,,,ALB,148.575,33.9519,-85.96157
,,,LMB,148.585,34.0229,-85.98603333
,,,ALB,148.594,33.99642,-86.00191
,,,LMB,148.605,33.9779,-85.9989
,,,LMB,148.621,,
,,,ALB,148.652,,
,,,ALB,148.681,,
,,,LMB,148.711,33.89117,-86.06844
,,,LMB,148.741,,
,,,LMB,148.770,33.86638,-86.09965
,,,LMB,148.801,,
,,,LMB,148.831,,
,,,ALB,148.861,34.00836667,-85.99856667
,,,ALB,148.890,33.98783333,-86.00183333
,,,ALB,148.954,33.81275,-86.07551667
,,,LMB,148.982,,
,,,ALB,149.001,,
,,,LMB,149.212,,
,,,LMB,149.241,,
,,,ALB,149.264,,
,,,ALB,149.272,,
,,,ALB,149.291,34.01282,-85.99592
,,,ALB,149.313,34.01011667,-85.99696833
,,,LMB,149.334,33.85623333,-86.10173333
,,,ALB,149.351,34.01125,-85.96475
,,,LMB,149.363,,
,,,LMB,149.372,33.9901,-86.00465
,,,LMB,149.383,,
,,,ALB,149.393,,
,,,ALB,149.412,,
,,,ALB,149.421,34.01295,-85.99568
,,,ALB,149.432,33.9928,-85.99615
,,,ALB,149.442,,
,,,ALB,149.453,,
,,,LMB,149.473,,
,,,ALB,149.483,33.93911667,-86.0311
,,,ALB,149.493,33.85793333,-86.09661667
,,,ALB,149.503,,
,,,LMB,149.513,,
,,,ALB,149.534,33.8656,-86.10003
,,,LMB,149.542,,
,,,LMB,149.556,34.01138333,-85.99788333
,,,LMB,149.564,,
,,,LMB,149.573,33.97286667,-85.9855
,,,ALB,149.595,,
,,,ALB,149.604,,
,,,LMB,149.613,,
,,,LMB,149.623,33.96816667,-85.9827
,,,ALB,149.632,33.98592,-86.01062
,,,ALB,149.645,33.81918333,-86.05371667
,,,LMB,149.653,,
,,,LMB,149.664,,
,,,LMB,149.673,,
,,,LMB,149.684,,
,,,LMB,149.693,,
,,,LMB,149.704,,
,,,ALB,149.213,,
,,,ALB,149.721,,
,,,LMB,149.732,,
,,,ALB,149.742,33.98962,-85.99902
,,,LMB,149.753,33.9186,-86.06556667
,,,LMB,149.761,,
,,,ALB,149.772,,
,,,LMB,149.781,33.95173333,-85.96198333
,,,LMB,149.794,,
,,,ALB,149.802,,
