,Date,Crew,Site,Peddle.Time..min.,Species,TL..mm.,Reward.Tag..,X2nd.Reward.Tag..,Radio.Tag.Frequency,Code,Combined,Lat,Long
683,1/4/23,NATMAX,59,58:03:00,LMB,479,2410,NA,105.333,L-98,105.333L-98,33.963,-85.97389
682,1/4/23,NATMAX,6,47,LMB,499,2411,NA,150.132,I-0,150.132I-0,34.01584,-85.94679
65,12/6/22,TJMAX,36,,LMB,468,96,NA,150.132,I-08,150.132I-08,,
110,12/5/22,TJMAX,41,,LMB,415,1485,NA,150.132,I-09,150.132I-09,33.95165,-85.95771
686,1/6/23,MaxParker,88,57:14:00,ALB,417,5062,NA,150.132,I-1,150.132I-1,,
318,,TJMAX,42,59:11:00,ALB,462,730,729,150.132,I-11,150.132I-11,33.99492167,-85.99931333
72,12/6/22,TJMAX,178,,LMB,420,1745,NA,150.132,I-12,150.132I-12,,
283,6-Dec,MarcusNat,57,,LMB,525,117,NA,150.132,I-13,150.132I-13,33.96959,-85.99
80,12/6/22,TJMAX,180,,LMB,368,2443,NA,150.132,I-14,150.132I-14,33.97787167,-86.00152333
153,12/7/22,TJMAX,33,,LMB,411,1707,NA,150.132,I-15,150.132I-15,34.00831,-85.99836
251,12/7/22,MarcusNat,128,74,LMB,454,2397,2396,150.132,I-16,150.132I-16,33.97894,-85.99912
361,7-Dec,TJMAX,189,32:10:00,LMB,452,68,NA,150.132,I-17,150.132I-17,33.9775,-86.00075
442,12/15/22,TJ/Natalie ,80,59:07:00,ALB,354,4165,4161,150.132,I-18,150.132I-18,33.81621333,-86.04580333
372,,TJMAX,197,,LMB,505,62,NA,150.132,I-19,150.132I-19,,
784,1/3/23,TJMARCUS,10,51:18:00,LMB,445,1783,NA,150.132,I-2,150.132I-2,,
660,12/12/22,MarcusNatalie,27,58:01:00,ALB,415,1533,NA,150.132,I-20,150.132I-20,34.01930667,-85.9794
746,1/6/23,TJMARCUS,122,45:50:00,ALB,400,4287,NA,150.132,I-21,150.132I-21,33.93904,-86.03416
662,1/2/23,NATMAX,88,29:24:00,LMB,378,2415,NA,150.132,I-22,150.132I-22,33.79432,-86.05813
663,1/2/23,NATMAX,91,43,LMB,389,2414,NA,150.132,I-23,150.132I-23,,
691,1/6/23,MaxParker,91,49:16:00,ALB,366,4486,4487,150.132,I-24,150.132I-24,33.78425,-86.05321
706,1/2/23,NATMAX,88,57:14:00,ALB,350,2406,NA,150.132,I-26,150.132I-26,,
747,1/6/23,TJMARCUS,123,73:15:00,ALB,458,1755,1756,150.132,I-3,150.132I-3,33.93299,-85.97122
776,1/5/23,TJMARCUS,136,55:13:00,ALB,465,4195,4194,150.132,I-4,150.132I-4,33.89524,-86.10923
702,1/6/23,MaxParker,97,19:17,ALB,384,4358,NA,150.132,I-5,150.132I-5,33.79452167,-86.06071833
710,1/2/23,NATMAX,91,43:00:00,ALB,400,4474,NA,150.132,I-6,150.132I-6,,
27,12/6/22,MN,168,1:03 (hour),ALB,444,143,NA,150.132,I-75,150.132I-75,,
31,12/6/22,MN,168,1:03 (hour),ALB,439,142,141,150.132,J-33,150.132J-33,33.97668,-86.00268
144,12/6/22,TJMAX,37,50:50:00,LMB,394,709,NA,150.132,J-34,150.132J-34,33.97141333,-85.98055
123,12/5/22,TJMAX,42,,LMB,408,723,NA,150.132,J-35,150.132J-35,33.94276333,-85.95338167
277,6-Dec,MarcusNat,57,,LMB,463,118,NA,150.132,J-36,150.132J-36,,
272,6-Dec,MarcusNat,57,,LMB,470,119,NA,150.132,J-37,150.132J-37,33.93562,-86.03759
224,12/7/22,MarcusNat,123,77,LMB,412,1424,1430,150.132,J-38,150.132J-38,33.89681,-86.14181
87,12/5/22,TJMAX,39,,LMB,384,1500,NA,150.132,J-39,150.132J-39,33.964275,-85.96666667
437,12/15/22,TJ/Natalie ,207,48:53:00,ALB,446,1800,NA,150.132,J-40,150.132J-40,34.01502,-85.95379
365,,TJMAX,193,,LMB,380,64,63,150.132,J41,150.132J41,,
293,12/5/22,MarcusNat,45,,LMB,500,1449,NA,150.132,L-84,150.132L-84,33.9931,-85.99619
560,12/13/22,TJ/Max,95,63:34:00,ALB,413,4046,4047,150.132,L-86,150.132L-86,,
178,12/8/22,MarcusMax,198,,ALB,361,4081,NA,150.132,L-85,150.132L-85,33.98912,-85.99857
419,12/12/22,MarcusMax,74,49:03:00,LMB,400,1621,NA,150.132,L-87,150.132L-87,33.854192,-86.045953
523,12/12/22,MarcusMax,74,49:03:00,ALB,389,4014,NA,150.132,L-88,150.132L-88,,
573,12/13/22,TJ/Max,96,63:20:00,ALB,468,515,NA,150.132,L-89,150.132L-89,33.79094,-86.07052
429,12/12/22,MarcusMax,75,,LMB,450,1641,NA,150.132,L-90,150.132L-90,,
578,12/13/22,TJ/Max,97,58:14:00,ALB,449,1925,1924,150.132,L-91,150.132L-91,33.85525,-86.04881
599,12/12/22,MarcusNatalie,203,32:33:00,LMB,472,2453,NA,150.132,L-92,150.132L-92,34.01533,-85.99101
540,12/12/22,TJ/Max,119,48:19:00,ALB,508,1644,NA,150.132,L-93,150.132L-93,33.84501,-86.05795
416,12/12/22,MarcusMax,73,,LMB,379,1615,NA,150.132,L-94,150.132L-94,33.92346,-86.05065
443,12/15/22,TJ/Natalie ,77,59:38:00,ALB,444,4167,NA,150.132,L-95,150.132L-95,,
