DATE,Month,Day,Year,TagSite,Species,TL,RewardTag1,RewardTag2,Radio.Tag.Frequency,Code,Combined,Group,Notes,Lat,Long,A/D,GroupMovement,Ramp
3/11/23,3,11,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,"3/11/2023 CL, TJ ",34.010097,-85.997069,A,A,CL
4/13/23,4,13,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.00562167,-85.92642333,A,A,CL
5/1/23,5,1,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.00525,-85.90412,A,A,CL
5/9/23,5,9,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.01511,-85.91691,A,A,CL
5/25/23,5,25,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.01576,-85.94685,A,A,CL
6/6/23,6,6,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.01582,-85.94662,A,A,CL
6/21/23,6,21,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.01577,-85.94664,A,A,CL
7/7/23,7,7,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.0157,-85.94691,A,A,CL
7/18/23,7,18,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.01583,-85.94677,A,A,CL
8/3/23,8,3,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.01579,-85.94676,A,A,CL
8/27/23,8,27,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.01577,-85.94663,A,A,CL
9/11/23,9,11,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.0157,-85.9469,A,A,CL
9/25/23,9,25,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.01584,-85.94676,A,A,CL
10/9/23,10,9,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,,34.01584,-85.94679,D,A,CL
10/23/23,10,23,2023,6,LMB,499,2411,NA,150.132,I-0,150.132I-0,U,"Tag on dry land on 11/3/2023, removed",34.01575,-85.94682,D,D,CL
4/19/23,4,19,2023,189,LMB,452,68,NA,150.132,I-17,150.132I-17,U,"4/19/2023 CL, REPORTED 19466",34.010097,-85.997069,A,A,CL
5/9/23,5,9,2023,189,LMB,452,68,NA,150.132,I-17,150.132I-17,U,,33.97827,-86.02751,A,A,CL
5/25/23,5,25,2023,189,LMB,452,68,NA,150.132,I-17,150.132I-17,U,,33.9815,-86.03078,A,A,CL
6/6/23,6,6,2023,189,LMB,452,68,NA,150.132,I-17,150.132I-17,U,,33.98204,-86.03145,A,A,CL
6/21/23,6,21,2023,189,LMB,452,68,NA,150.132,I-17,150.132I-17,U,,33.98174,-86.03105,A,A,CL
7/7/23,7,7,2023,189,LMB,452,68,NA,150.132,I-17,150.132I-17,U,,33.98199,-86.03147,A,A,CL
7/18/23,7,18,2023,189,LMB,452,68,NA,150.132,I-17,150.132I-17,U,,33.98218,-86.03141,A,A,CL
