"","Species","TagLat","TagLong","Site","n"
"1","ALB",33.784395,-86.06783383,3,1
"2","ALB",33.791465,-86.071867,7,1
"3","ALB",33.79178,-86.068987,8,1
"4","ALB",33.803451,-86.055039,200,1
"5","ALB",33.80409117,-86.07345617,11,2
"6","ALB",33.820919,-86.049583,192,1
"7","ALB",33.83505,-86.054558,184,1
"8","ALB",33.85845117,-86.10507883,40,1
"9","ALB",33.859857,-86.08713117,35,1
"10","ALB",33.860132,-86.062525,33,1
"11","ALB",33.86174883,-86.09969883,41,1
"12","ALB",33.864083,-86.074725,34,1
"13","ALB",33.888892,-86.069385,60,1
"14","ALB",33.89838117,-86.075193,61,2
"15","ALB",33.94386383,-86.026867,66,4
"16","ALB",33.968622,-85.989864,83,2
"17","ALB",33.982253,-86.004099,86,1
"18","ALB",33.987203,-86.000184,88,5
"19","ALB",33.996078,-85.993797,132,1
"20","ALB",34.007959,-85.908145,115,1
"21","ALB",34.009937,-85.957836,125,2
"22","ALB",34.010718,-85.998501,90,5
"23","ALB",34.01487,-85.994726,91,3
"24","ALB",34.015049,-85.972605,126,3
"25","ALB",34.015351,-85.987575,128,5
"26","ALB",34.018781,-85.985393,127,1
"27","ALB",34.019865,-85.977584,96,1
"28","LMB",33.784395,-86.06783383,3,1
"29","LMB",33.791465,-86.071867,7,1
"30","LMB",33.80002,-86.058231,201,1
"31","LMB",33.802172,-86.068987,9,1
"32","LMB",33.80409117,-86.07345617,11,1
"33","LMB",33.80741117,-86.101245,16,1
"34","LMB",33.81258383,-86.075423,13,1
"35","LMB",33.81291883,-86.09195,17,1
"36","LMB",33.826533,-86.042857,190,1
"37","LMB",33.835995,-86.09171117,25,1
"38","LMB",33.83799383,-86.099145,27,1
"39","LMB",33.84031,-86.07669883,24,1
"40","LMB",33.84273,-86.06119,183,1
"41","LMB",33.855583,-86.11013117,39,2
"42","LMB",33.85845117,-86.10507883,40,1
"43","LMB",33.859857,-86.08713117,35,1
"44","LMB",33.860132,-86.062525,33,1
"45","LMB",33.866213,-86.083218,55,1
"46","LMB",33.86689883,-86.089978,54,1
"47","LMB",33.872582,-86.06549,58,1
"48","LMB",33.877383,-86.09570383,52,1
"49","LMB",33.878253,-86.10625883,45,1
"50","LMB",33.88438617,-86.102695,50,1
"51","LMB",33.88483,-86.035522,174,1
"52","LMB",33.886979,-86.048295,171,1
"53","LMB",33.888892,-86.069385,60,1
"54","LMB",33.915813,-86.060407,163,1
"55","LMB",33.925796,-86.042979,160,1
"56","LMB",33.927753,-86.05248617,64,1
"57","LMB",33.930575,-85.974789,149,1
"58","LMB",33.933668,-85.970063,75,1
"59","LMB",33.938058,-86.020724,155,1
"60","LMB",33.943347,-85.99714883,71,1
"61","LMB",33.944001,-86.008671,152,1
"62","LMB",33.94856117,-86.0045,70,2
"63","LMB",33.949282,-86.018697,67,1
"64","LMB",33.951085,-85.963663,80,1
"65","LMB",33.955723,-85.952685,145,1
"66","LMB",33.964658,-85.9794,82,1
"67","LMB",33.96988,-85.978689,136,1
"68","LMB",33.978697,-86.003161,85,1
"69","LMB",33.982253,-86.004099,86,1
"70","LMB",33.987203,-86.000184,88,2
"71","LMB",34.003404,-85.998518,130,2
"72","LMB",34.015319,-85.944874,122,1
"73","LMB",34.018781,-85.985393,127,1
