ID,TaggingEvent,Date,Crew,Site,Peddle Time (min),Species,TL (mm),High Tag,Reward Tag #,2nd Reward Tag #,Num tagged,Radio Tag Frequency,Code,Combined
1,1,1/25/22,NCAT,126,53,ALB,445,242,242,241,2,148.011,,
2,1,1/19/22,NCAT,52,37,LMB,428,1018,1007,1018,2,148.021,,
3,1,1/17/22,NCAT,54,45,LMB,460,277,277,NA,1,148.031,,
4,1,1/27/22,TJMAX,61,21:49,ALB,450,1392,1392,NA,1,148.041,,
5,1,1/17/22,NCAT,3,43,ALB,459,296,293,296,2,148.053,,
6,1,1/17/22,TJMAX,27,50:15:00,LMB,415,935,935,NA,1,148.062,,
7,1,1/19/22,TJMAX,75,50:27:00,LMB,371,2035,2035,NA,1,148.072,,
8,1,1/11/22,TJMAX,60,70,ALB,365,680,680,NA,1,148.081,,
9,1,1/25/22,NCAT,128,68,ALB,419,231,231,NA,1,148.092,,
10,1,1/25/22,NCAT,128,68,ALB,477,1066,1056,1066,2,148.103,,
11,1,1/17/22,TJMAX,24,34:40:00,LMB,413,1261,1261,NA,1,148.112,,
12,1,1/25/22,NCAT,96,23,ALB,465,433,433,429,2,148.122,,
13,1,1/14/22,TJMAX,184,38:40:00,ALB,500,936,936,NA,1,148.132,,
14,1,1/26/22,NCAT,88,120,ALB,434,2282,2282,NA,1,148.141,,
15,1,1/18/22,TJMAX,58,45:25:00,LMB,423,949,949,905,2,148.152,,
16,1,1/18/22,NCAT,39,43,LMB,478,1050,1050,NA,1,148.162,,
17,1,1/14/22,TJMAX,17,43:30:00,LMB,440,1290,1290,NA,1,148.172,,
18,1,1/17/22,TJMAX,152,34:42:00,LMB,434,1272,1272,NA,1,148.182,,
19,1,1/18/22,TJMAX,33,49:22:00,ALB,421,779,755,779,2,148.193,,
20,1,1/18/22,NCAT,39,43,LMB,420,1005,1004,1005,2,148.203,,
21,1,1/19/22,NCAT,50,37,LMB,395,2317,2317,NA,1,148.211,,
22,1,1/25/22,NCAT,125,46,ALB,387,240,240,NA,1,148.221,,
23,1,1/12/22,TJMAX,64,40:41:00,LMB,436,602,602,NA,1,148.232,,
24,1,1/26/22,NCAT,88,120,ALB,417,1192,1065,1192,2,148.251,,
25,1,1/17/22,TJMAX,25,41:47:00,LMB,363,1289,1289,NA,1,148.261,,
26,1,1/25/22,NCAT,128,68,ALB,397,226,226,NA,1,148.291,,
27,1,1/20/22,NCAT,127,65,ALB,468,2338,2338,2321,2,148.311,,
28,1,1/18/22,NCAT,55,30,LMB,472,447,447,NA,1,148.323,,
29,1,1/26/22,NCAT,90,111,ALB,443,2262,2252,2262,2,148.332,,
30,1,1/13/22,TJMAX,70,39:53:00,LMB,416,1252,1252,NA,1,148.343,,
31,1,1/25/22,NCAT,125,46,ALB,358,1177,1177,1162,2,148.352,,
32,1,1/25/22,NCAT,128,108,ALB,412,237,236,237,2,148.361,,
33,1,1/26/22,NCAT,90,111,ALB,390,362,362,NA,1,148.575,,
34,1,1/20/22,NCAT,127,1:05,LMB,484,1026,1022,1026,2,148.585,,
35,1,1/14/22,NCAT,8,28,ALB,527,2268,2268,NA,1,148.594,,
36,1,1/13/22,NCAT,85,35,LMB,452,498,498,NA,1,148.605,,
37,1,1/17/22,NCAT,3,43,LMB,437,275,275,273,2,148.621,,
38,1,1/26/22,TJMAX,66,23:19,ALB,460,954,954,NA,1,148.652,,
39,1,1/18/22,NCAT,34,47,ALB,385,1041,1041,NA,1,148.681,,
40,1,1/11/22,TJMAX,60,70,LMB,485,1247,1247,NA,1,148.711,,
41,1,1/13/22,TJMAX,160,40:57:00,LMB,405,614,614,NA,1,148.741,,
42,1,1/13/22,NCAT,136,20,LMB,411,1060,1060,NA,1,148.801,,
43,1,1/19/22,NCAT,45,30,LMB,418,1043,1043,NA,1,148.831,,
44,1,1/20/22,NCAT,91,43,ALB,384,444,444,NA,1,148.861,,
45,1,1/13/22,NCAT,86,35,ALB,457,493,493,483,2,148.89,,
46,1,1/14/22,NCAT,11,40,ALB,413,259,259,NA,1,148.954,,
47,1,1/11/22,TJMAX,174,40:14:00,LMB,441,1212,1212,NA,1,148.982,,
48,1,1/25/22,NCAT,126,53,ALB,444,1187,1187,NA,1,149.001,,
49,1,1/11/22,NCAT,122,46,LMB,488,632,632,NA,1,149.212,,
50,1,1/27/22,NCAT,35,120,ALB,380,1175,1129,1175,2,149.713,,
51,1,1/21/22,NCAT,35,47,LMB,532,416,416,NA,1,149.241,,
