Site,ReleaseEvent,LatDecimalDegrees,LongDecimalDegrees
1,1,33.78412117,-86.052977
2,1,33.78604617,-86.064573
3,1,33.784395,-86.06783383
4,1,33.78926,-86.076345
5,1,33.79070883,-86.08741383
6,1,33.792605,-86.08226617
7,1,33.791465,-86.071867
8,1,33.79178,-86.068987
9,1,33.802172,-86.068987
10,1,33.803133,-86.072933
11,1,33.80409117,-86.07345617
12,1,33.80792,-86.06749
13,1,33.81258383,-86.075423
14,1,33.80996,-86.090745
15,1,33.806772,-86.104423
16,1,33.80741117,-86.101245
17,1,33.81291883,-86.09195
18,1,33.81577117,-86.082422
19,1,33.81535617,-86.07455
20,1,33.816378,-86.06480883
21,1,33.81914117,-86.064402
22,1,33.829275,-86.05839
23,1,33.83398383,-86.06372117
24,1,33.84031,-86.07669883
25,1,33.835995,-86.09171117
26,1,33.83438383,-86.10564
27,1,33.83799383,-86.099145
28,1,33.84189883,-86.088737
29,1,33.846157,-86.07856617
30,1,33.84472117,-86.07099883
31,1,33.848482,-86.05980883
32,1,33.84907617,-86.066032
33,1,33.860132,-86.062525
34,1,33.864083,-86.074725
35,1,33.859857,-86.08713117
36,1,33.85685383,-86.10058383
37,1,33.85399383,-86.114977
38,1,33.85884,-86.12156383
39,1,33.855583,-86.11013117
40,1,33.85845117,-86.10507883
41,1,33.86174883,-86.09969883
42,1,33.87049883,-86.10592383
43,1,33.86935383,-86.115005
44,1,33.87522617,-86.111633
45,1,33.878253,-86.10625883
46,1,33.885732,-86.11431383
47,1,33.89565617,-86.11101383
48,1,33.891195,-86.10574
49,1,33.884923,-86.106572
50,1,33.88438617,-86.102695
51,1,33.88212383,-86.10300117
52,1,33.877383,-86.09570383
53,1,33.871778,-86.094372
54,1,33.86689883,-86.089978
55,1,33.866213,-86.083218
56,1,33.868593,-86.074368
57,1,33.87440383,-86.073532
58,1,33.872582,-86.06549
59,1,33.877823,-86.058443
60,1,33.888892,-86.069385
61,1,33.89838117,-86.075193
62,1,33.908203,-86.07456617
63,1,33.91921117,-86.064733
64,1,33.927753,-86.05248617
65,1,33.935085,-86.040048
66,1,33.94386383,-86.026867
67,1,33.949282,-86.018697
68,1,33.950568,-86.00978117
69,1,33.950857,-86.004513
70,1,33.94856117,-86.0045
71,1,33.943347,-85.99714883
72,1,33.93719617,-85.98436883
73,1,33.93369,-85.978172
74,1,33.936708,-85.97555
75,1,33.933668,-85.970063
76,1,33.934352,-85.967128
77,1,33.943376,-85.960766
78,1,33.936547,-85.958789
79,1,33.939718,-85.954225
80,1,33.951085,-85.963663
81,1,33.956362,-85.969226
82,1,33.964658,-85.9794
83,1,33.968622,-85.989864
84,1,33.976149,-85.999444
85,1,33.978697,-86.003161
86,1,33.982253,-86.004099
87,1,33.985082,-86.003926
88,1,33.987203,-86.000184
89,1,33.997666,-86.001648
90,1,34.010718,-85.998501
91,1,34.01487,-85.994726
92,1,34.02286,-85.98563
93,1,34.022526,-85.98093
94,1,34.024315,-85.980631
95,1,34.025768,-85.975651
96,1,34.019865,-85.977584
97,1,34.012816,-85.967025
98,1,34.014238,-85.955578
99,1,34.02317,-85.961268
100,1,34.019662,-85.953515
101,1,34.024286,-85.948129
102,1,34.025223,-85.946778
103,1,34.015492,-85.95304
104,1,34.016914,-85.943376
105,1,34.01631,-85.926291
106,1,34.016737,-85.925627
107,1,34.012592,-85.909995
108,1,33.999685,-85.90399
109,1,33.988113,-85.895883
110,1,33.995115,-85.881789
111,1,34.007562,-85.889628
112,1,33.997892,-85.880845
113,1,33.987845,-85.890766
114,1,33.99426,-85.903331
115,1,34.007959,-85.908145
116,1,34.014451,-85.922122
117,1,34.010937,-85.921548
118,1,34.001658,-85.925654
119,1,34.002642,-85.930197
120,1,34.010557,-85.926858
121,1,34.015236,-85.928017
122,1,34.015319,-85.944874
123,1,34.008374,-85.955425
124,1,34.004531,-85.951254
125,1,34.009937,-85.957836
126,1,34.015049,-85.972605
127,1,34.018781,-85.985393
128,1,34.015351,-85.987575
129,1,34.010912,-85.996277
130,1,34.003404,-85.998518
131,1,33.990302,-85.998671
132,1,33.996078,-85.993797
133,1,33.983826,-85.99865
134,1,33.979578,-85.995988
