Month,Day,Year,ReleaseEvent,TagSite,Species,TL,RewardTag1,RewardTag2,Radio.Tag.Frequency,Code,Combined,Group,Notes,Lat,Long,MortalitySignal,GroupMovement,SignalStrength,Flight,TournamentRelease ,TJ,ReportedTourneyRelease,ReleaseRamp,ManuallyTracked
1,25,2022,1,126,ALB,445,242,241,148.011,,,,Tag Site,34.015049,-85.972605,A,A,,,,,,,Y
3,2,2022,1,126,ALB,445,242,241,148.011,,,,,34.01931667,-85.98485,A,A,,,,,,,Y
4,7,2022,1,126,ALB,445,242,241,148.011,,,,,34.0195,-85.98623333,A,A,,,,,,,Y
5,11,2022,1,126,ALB,445,242,241,148.011,,,,,34.01398333,-85.99253333,A,A,,,,,,,Y
6,18,2022,1,126,ALB,445,242,241,148.011,,,,,34.01438333,-85.99196667,A,A,,,,,,,Y
7,7,2022,1,126,ALB,445,242,241,148.011,,,,,34.01538333,-85.9976,A,A,,,,,,,Y
8,4,2022,1,126,ALB,445,242,241,148.011,,,,,34.0143,-85.99233333,A,A,,,,,,,Y
8,17,2022,1,126,ALB,445,242,241,148.011,,,,"CAUGHT 8/17/2022, CL, REPORTED",34.010097,-85.997069,A,A,,,Y,,Y,CL,Y
9,12,2022,1,126,ALB,445,242,241,148.011,,,,,33.96326667,-85.97005,A,A,,,Y,,Y,CL,Y
1,19,2022,1,52,LMB,428,1007,1018,148.021,,,,Tag Site,33.877383,-86.09570383,A,A,,,,,,,Y
3,2,2022,1,52,LMB,428,1007,1018,148.021,,,,,33.86678333,-86.0948333,A,A,,,,,,,N
4,8,2022,1,52,LMB,428,1007,1018,148.021,,,,,33.86678333,-86.0948333,A,A,,,,,,,N
5,13,2022,1,52,LMB,428,1007,1018,148.021,,,,,33.87091667,-86.1031,D,A,,,,,,,Y
6,17,2022,1,52,LMB,428,1007,1018,148.021,,,,,33.87063333,-86.10271667,D,D,,,,,,,Y
7,6,2022,1,52,LMB,428,1007,1018,148.021,,,,,33.87093333,-86.1027,D,D,,,,,,,Y
8,2,2022,1,52,LMB,428,1007,1018,148.021,,,,,33.87091667,-86.10275,A,D,,,,,,,Y
9,11,2022,1,52,LMB,428,1007,1018,148.021,,,,,33.87123333,-86.10246667,A,D,,,,,,,Y
1,17,2022,1,54,LMB,460,277,NA,148.031,,,,Tag Site,33.86689883,-86.089978,A,A,,,,,,,Y
3,2,2022,1,54,LMB,460,277,NA,148.031,,,,,33.864885,-86.0832333,A,A,,,,,,,N
4,8,2022,1,54,LMB,460,277,NA,148.031,,,,By Site 58,33.872582,-86.06549,A,A,,,,,,,N
5,13,2022,1,54,LMB,460,277,NA,148.031,,,,By Site 34 ,33.864083,-86.074725,A,A,,,,,,,N
7,7,2022,1,54,LMB,460,277,NA,148.031,,,,Little Canoe Creek,33.866051,-86.097232,A,A,,,,,,,N
1,27,2022,1,61,ALB,450,1392,NA,148.041,,,,Tag Site,33.89838117,-86.075193,A,A,,,,,,,Y
4,8,2022,1,61,ALB,450,1392,NA,148.041,,,,Site 61,33.89838117,-86.075193,A,A,,,,,,,N
5,12,2022,1,61,ALB,450,1392,NA,148.041,,,,Site 62,33.908203,-86.07456617,A,A,,,,,,,N
6,17,2022,1,61,ALB,450,1392,NA,148.041,,,,,33.905,-86.07513333,D,A,,,,,,,Y
7,7,2022,1,61,ALB,450,1392,NA,148.041,,,,Site 62,33.908203,-86.07456617,D,D,,,,,,,N
8,3,2022,1,61,ALB,450,1392,NA,148.041,,,,,33.89679,-86.0709,A,D,,,,,,,N
1,17,2022,1,3,ALB,459,293,296,148.053,,,,Tag Site,33.784395,-86.06783383,A,A,,,,,,,Y
3,2,2022,1,3,ALB,459,293,296,148.053,,,,Site 3,33.784395,-86.06783383,A,A,,,,,,,N
7,5,2022,1,3,ALB,459,293,296,148.053,,,,Site 3,33.784395,-86.06783383,A,A,,,,,,,N
8,2,2022,1,3,ALB,459,293,296,148.053,,,,,33.78142,-86.07147,A,A,,,,,,,N
1,17,2022,1,27,LMB,415,935,NA,148.062,,,,Tag Site,33.83799383,-86.099145,A,A,,,,,,,Y
3,2,2022,1,27,LMB,415,935,NA,148.062,,,,Site 28,33.84189883,-86.088737,A,A,,,,,,,N
4,8,2022,1,27,LMB,415,935,NA,148.062,,,,Site 28,33.84189883,-86.088737,A,A,,,,,,,N
5,11,2022,1,27,LMB,415,935,NA,148.062,,,,,34.01383333,-85.99491667,A,A,,,,,,,Y
6,17,2022,1,27,LMB,415,935,NA,148.062,,,,,33.98678333,-86.0192,A,A,,,,,,,Y
8,3,2022,1,27,LMB,415,935,NA,148.062,,,,,33.9881,-86.0167,A,A,,,,,,,N
1,19,2022,1,75,LMB,371,2035,NA,148.072,,,,Tag Site,33.933668,-85.970063,A,A,,,,,,,Y
3,2,2022,1,75,LMB,371,2035,NA,148.072,,,,Site 7,33.791465,-86.071867,A,A,,,,,,,N
1,11,2022,1,60,ALB,365,680,NA,148.081,,,,Tag Site,33.888892,-86.069385,A,A,,,,,,,Y
3,2,2022,1,60,ALB,365,680,NA,148.081,,,,Site 61,33.89838117,-86.075193,A,A,,,,,,,N
4,8,2022,1,60,ALB,365,680,NA,148.081,,,,Site 61,33.89838117,-86.075193,A,A,,,,,,,N
5,12,2022,1,60,ALB,365,680,NA,148.081,,,,Site 60 ,33.888892,-86.069385,A,A,,,,,,,N
6,17,2022,1,60,ALB,365,680,NA,148.081,,,,Site 60 ,33.888892,-86.069385,A,A,,,,,,,N
8,3,2022,1,60,ALB,365,680,NA,148.081,,,,,33.88915,-86.06745,A,A,,,,,,,N
1,25,2022,1,128,ALB,419,231,NA,148.092,,,,Tag Site,34.015714,-85.989025,A,A,,,,,,,Y
8,4,2022,1,128,ALB,419,231,NA,148.092,,,,,34.0128,-85.9959,D,A,,,,,,,N
1,25,2022,1,128,ALB,477,1056,1066,148.103,,,,Tag Site,34.015714,-85.989025,A,A,,,,,,,Y
4,7,2022,1,128,ALB,477,1056,1066,148.103,,,,,34.00913333,-85.99793333,D,A,,,,,,,Y
5,11,2022,1,128,ALB,477,1056,1066,148.103,,,,,34.00911667,-85.99793333,A,D,,,,,,,Y
6,18,2022,1,128,ALB,477,1056,1066,148.103,,,,,34.00915,-85.99793333,A,D,,,,,,,Y
7,7,2022,1,128,ALB,477,1056,1066,148.103,,,,,34.00916667,-85.99793333,A,D,,,,,,,Y
8,4,2022,1,128,ALB,477,1056,1066,148.103,,,,,34.00911667,-85.99795,A,D,,,,,,,Y
9,12,2022,1,128,ALB,477,1056,1066,148.103,,,,,34.00913333,-85.99795,A,D,,,,,,,Y
1,17,2022,1,24,LMB,413,1261,NA,148.112,,,,Tag Site,33.84031,-86.07669883,A,A,,,,,,,Y
3,2,2022,1,24,LMB,413,1261,NA,148.112,,,,Site 25,33.835995,-86.09171117,A,A,,,,,,,N
4,7,2022,1,24,LMB,413,1261,NA,148.112,,,,,34.01713333,-85.93911667,A,A,,,,,,,N
6,16,2022,1,24,LMB,413,1261,NA,148.112,,,,Site 25,33.835995,-86.09171117,A,A,,,,,,,N
7,5,2022,1,24,LMB,413,1261,NA,148.112,,,,Site 27,33.83799383,-86.099145,A,A,,,,,,,N
8,2,2022,1,24,LMB,413,1261,NA,148.112,,,,,33.8412,-86.08527,A,A,,,,,,,N
1,25,2022,1,96,ALB,465,433,429,148.122,,,,Tag Site,34.019865,-85.977584,A,A,,,,,,,Y
3,2,2022,1,96,ALB,465,433,429,148.122,,,,,34.01625,-85.94348333,A,A,,,,,,,N
4,7,2022,1,96,ALB,465,433,429,148.122,,,,,34.01025,-85.9619333,A,A,,,,,,,N
7,7,2022,1,96,ALB,465,433,429,148.122,,,,Tilloson Bend,34.010648,-85.956572,A,A,,,,,,,N
8,4,2022,1,96,ALB,465,433,429,148.122,,,,,34.0164,-85.94382,A,A,,,,,,,N
1,14,2022,1,184,ALB,500,936,NA,148.132,,,,Tag Site,33.83505,-86.054558,A,A,,,,,,,Y
3,2,2022,1,184,ALB,500,936,NA,148.132,,,,Site 183,33.84273,-86.06119,A,A,,,,,,,N
4,8,2022,1,184,ALB,500,936,NA,148.132,,,,Site 186,33.829887,-86.047746,A,A,,,,,,,N
6,16,2022,1,184,ALB,500,936,NA,148.132,,,,Site 184,33.83505,-86.054558,A,A,,,,,,,N
8,4,2022,1,184,ALB,500,936,NA,148.132,,,,,33.83328,-86.057,A,A,,,,,,,N
1,26,2022,1,88,ALB,434,2282,NA,148.141,,,,Tag Site,33.987203,-86.000184,A,A,,,,,,,Y
4,7,2022,1,88,ALB,434,2282,NA,148.141,,,,Site 89,33.997666,-86.001648,A,A,,,,,,,N
5,11,2022,1,88,ALB,434,2282,NA,148.141,,,,Site 81,33.956362,-85.969226,A,A,,,,,,,N
7,7,2022,1,88,ALB,434,2282,NA,148.141,,,,Site 88,33.987203,-86.000184,A,A,,,,,,,N
1,18,2022,1,58,LMB,423,949,905,148.152,,,,Tag Site,33.872582,-86.06549,A,A,,,,,,,Y
3,2,2022,1,58,LMB,423,949,905,148.152,,,,Site 58,33.872582,-86.06549,A,A,,,,,,,N
4,8,2022,1,58,LMB,423,949,905,148.152,,,,,33.8739,-86.0625,D,A,,,,,,,Y
5,12,2022,1,58,LMB,423,949,905,148.152,,,,,33.8739,-86.0625,D,D,,,,,,,Y
6,17,2022,1,58,LMB,423,949,905,148.152,,,,,33.87348333,-86.06303333,D,D,,,,,,,Y
7,6,2022,1,58,LMB,423,949,905,148.152,,,,,33.87343333,-86.06301667,D,D,,,,,,,Y
